Title,Company,Location,Date,Apply Here
Chargé.e de Communication / Evènementiel,Le Lemon Tour,"Carthage, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/charg%C3%A9-e-de-communication-ev%C3%A8nementiel-at-le-lemon-tour-2806484158?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=UY7hjgEeVynHaCxT6woC%2Bg%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
Marketing Implementer,Rekrute.com,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/marketing-implementer-at-rekrute-com-2826175325?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=S5EUaUOxlYSTn%2FvP3sJY5w%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
Work From Home Opportunities at Appen,Appen,"Tunis City, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/work-from-home-opportunities-at-appen-at-appen-2814227196?refId=bBCKDV57PIuP%2FBePT1UHIQ%3D%3D&trackingId=eI64l%2FRjHjnMaHuRdyHjBg%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
"Conseiller de vente ""Showroom"" (H/F)",Edifis Group,"El Aouina, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/conseiller-de-vente-showroom-h-f-at-edifis-group-2818507336?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=b8pm%2FART2s7Xf%2B9INbkt1Q%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Junior Project Manager Intern (Remote Internship),Brainnest,"Tunis, Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/junior-project-manager-intern-remote-internship-at-brainnest-2811060067?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=C%2BH4tQSr%2BSyW0YJ8ViOLsA%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
Directeur Central Commercial et Marketing H/F,Talentup,"Bab el Bahr, Tunis, Tunisia",2021-10-24,https://tn.linkedin.com/jobs/view/directeur-central-commercial-et-marketing-h-f-at-talentup-2804554365?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=Oic5XgzTUSh6HFwF0ccjxA%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Gestionnaire Financier(e) et Comptable H/F,Talentup,"Bab el Bahr, Tunis, Tunisia",2021-10-27,https://tn.linkedin.com/jobs/view/gestionnaire-financier-e-et-comptable-h-f-at-talentup-2807367602?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=LgpxZhpE%2FstGQe4xFUtYCQ%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
chargé.e de qualité,ARTEMIS SOURCING,Grand Tunis Metropolitan Area,2021-12-06,https://tn.linkedin.com/jobs/view/charg%C3%A9-e-de-qualit%C3%A9-at-artemis-sourcing-2821116496?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=ZdqwSKGdKoWPFOnfIdUtiQ%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
FINANCE ASSISTANT - MENA,ARTICLE 19,"Tunis, Tunis, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/finance-assistant-mena-at-article-19-2812225767?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=cJfRRLohGIadCyiwkw5jEA%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
IT Project Manager,BEN YEDDER CONSULTING,"Tunis, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/it-project-manager-at-ben-yedder-consulting-2815839876?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=HQHHJFOuiW5qXYnvO6QUkQ%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
